Date Reported,Source Channel,Reporter,Issue Summary,Category,Severity,Volume / Size,Status,Owner,Resolution,Slack Link
2026-05-28,#anz-commops-funnel,CommOps,"Logmate invitation link expires after 7 days; some drivers miss initial email. Also tag 'logmate_registered' delay exceeds 24hr SLA after driver accepts invite.",Funnel / Onboarding,High,Increased inflows (C2D drivers),Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1779773893835999
2026-05-28,#anz-commops-funnel,CommOps,"DL rejected due to name mismatch - appears to be a tools issue as name matches POID and sheet. Multiple samples collected.",App / Technical,Medium,Multiple cases,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1779759503476359
2026-05-28,#anz-commops-funnel,CommOps,"Repeated vehicle rejections - ANCAP automation issue. BYD Sealion 7 and Great Wall Haval H7 affected. Exempt tags added but ancap_reject reapplied by automation.",App / Technical,High,Multiple vehicles/drivers,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1779429194931589
2026-05-28,#anz-commops-funnel,CommOps,"DPs unable to go online - accounts placed on WAR with blocker OUTSIDE_EARNABLE_AREA / FULLY_OUTSIDE_EARNABLE_AREA.",Driver Experience,High,Multiple DPs,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1779754463982909
2026-05-28,#anz-commops-funnel,CommOps,"AAE custom blocker - need confirmation it is live before waitlisting 70k drivers. Risk of driver confusion and supply loss.",Driver Experience,High,~70000 drivers,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1779678822318709
2026-05-28,#anz-commops-funnel,CommOps,"DSE option not visible in Bonjour/app for some DPs. Web link also not working. 8 sample DPs, 7 resolved via Messaging queue workaround.",App / Technical,Medium,8 sample DPs (ongoing),Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1779665764957059
2026-05-28,#anz-commops-funnel,CommOps,"NZTA compliance process outage - NZ drivers receiving Uber comms about DL/P endorsement issues but NZTA confirms no issue on their end.",Driver Experience,High,Multiple NZ drivers,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1778052324634139
2026-05-28,#anz-commops-funnel,CommOps,"TSL sheet not updated post 2 April - multiple drivers awaiting TSL update. No entries found on sheet after that date.",CommOps Process,Medium,Multiple drivers,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1776140590076859
2026-05-28,#anz-commops-funnel,CommOps,"Drivers unable to upload stickers in-app. Manual support uploads disabled (fraud prevention), leaving DPs with no workaround.",App / Technical,Medium,Multiple DPs,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1776925302022889
2026-05-28,#anz-commops-funnel,CommOps,"Uber Sticker submission stuck in 'Pending' transcription for 2-3 days - delay on DA side.",CommOps Process,Medium,Multiple DPs,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1776654864128639
2026-05-28,#anz-commops-funnel,CommOps,"60+ driver inbounds in one day from drivers waitlisted due to not completing assistance animal education. Reactivation not instant after course completion as expected.",Driver Experience,High,60+ drivers,Resolved,,"Eng confirmed evaluation issue resolved; configuration updated",https://uber.slack.com/archives/C06ACLGEWJG/p1775547576878139
2026-05-28,#anz-commops-funnel,CommOps,"NT drivers unable to upload Vehicle Registration in-app. Supports uploading on their behalf as workaround. Issue appears NT-specific.",App / Technical,Medium,Multiple NT drivers,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1778743856849099
2026-05-28,#anz-commops-funnel,CommOps,"30+ NZ and SYD drivers unable to go online after receiving message about not being signed up to earn in location.",Driver Experience,High,30+ drivers,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1773887784544149
2026-05-28,#anz-commops-funnel,CommOps,"L5 data outage impacted driver compliance processes - queue spikes. Eng working on fix with no ETA.",App / Technical,High,Queue-wide impact,Resolved,,Resolved after Eng fix,https://uber.slack.com/archives/C06ACLGEWJG/p1772690958782529
2026-05-28,#anz-commops-funnel,CommOps,"Logmate tagging delayed/missing for C2D driver - case unresolved for ~2 weeks despite TSL re-upload and approval. Multiple similar cases.",Funnel / Onboarding,Medium,Multiple C2D drivers,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1776662448757269
2026-05-28,#anz-commops-funnel,CommOps,"NZ fatigue education - ucraft issue this morning failed to display education screen. Drivers unable to see screen and contacting support.",App / Technical,Medium,~9+ drivers,Resolved,,"uCraft issue resolved - drivers can see screen after re-login or app refresh",https://uber.slack.com/archives/C06ACLGEWJG/p1770943049363419
2026-05-28,#anz-commops-funnel,CommOps,"Logmate access outage - COE team unable to log into Logmate. Possible outage or maintenance window.",App / Technical,Medium,COE team-wide,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1771387186133459
2026-05-28,#anz-commops-funnel,CommOps,"DL incorrectly rejected with name mismatch reason by tool - DA team confirmed doc approved but tool incorrectly rejected. Multiple samples.",App / Technical,Medium,Multiple DPs,Open,,,https://uber.slack.com/archives/C06ACLGEWJG/p1778652919383629
2026-05-25,#anz-mobility-commops-xfn,CommOps,"Incorrect rejection of Driver's Licence - 50+ cases where DLs rejected due to name mismatch with National ID/VEVO. Auto transcription rule failing on letter case inconsistency.",App / Technical,High,50+ cases,Open,,"ID Ops flagged to Doc Eng for root cause fix",https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1779851474502289
2026-05-26,#anz-mobility-commops-xfn,CommOps,"Active drivers blocked by OUTSIDE_EARNABLE_AREA / FULLY_OUTSIDE_EARNABLE_AREA - ~20 calls from drivers moved to WAR status. Part of ongoing global outage.",Driver Experience,High,~20 drivers,Open,,Eng investigating global outage,https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1779758317043279
2026-05-25,#anz-mobility-commops-xfn,CommOps,"Education modules not visible in app for C2D drivers - Driver Safety Education and Interpersonal Conflict Training not showing in-app. Config error identified; fix not yet deployed.",App / Technical,High,Multiple C2D drivers,Open,,"Config error identified; fix pending tooling outage resolution",https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1779757927210559
2026-05-22,#anz-mobility-commops-xfn,CommOps,"Spike in driver inflows due to delayed payout for DxGy promos.",Payments / Fares,Medium,Inflow spike,Open,,,https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1779754448990759
